"note","duration"
415.30,0.3
440.00,0.3
415.30,0.3
440.00,0.3
415.30,0.3
440.00,0.3
392.00,0.3
415.30,0.3
392.00,0.3
415.30,0.3
392.00,0.3
415.30,0.3
369.99,0.3
392.00,0.3
369.99,0.3
392.00,0.3
369.99,0.3
392.00,0.3
349.23,0.1
329.63,0.1
311.13,0.2
293.66,0.25
293.66,0.1
